Education (At least bachelor's degree) for Wisconsin by County
Population Ages 25+
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 3143 counties)
"Wisconsin",55000,32.8,1333128,"29 of 52"
"United States",00000,35.0,79954302,"N/A"
"Clark County",55019,13.4,2891,"2,867"
"Marquette County",55077,15.2,1793,"2,646"
"Forest County",55041,15.5,1063,"2,592"
"Langlade County",55067,16.2,2329,"2,476"
"Jackson County",55053,16.3,2437,"2,459"
"Juneau County",55057,16.3,3219,"2,459"
"Rusk County",55107,16.3,1697,"2,459"
"Taylor County",55119,16.7,2327,"2,392"
"Price County",55099,17.1,1838,"2,336"
"Adams County",55001,17.3,2923,"2,308"
"Waushara County",55137,17.4,3269,"2,295"
"Crawford County",55023,18.3,2161,"2,138"
"Oconto County",55083,18.7,5441,"2,064"
"Shawano County",55115,18.7,5509,"2,064"
"Lincoln County",55069,19.4,4177,"1,932"
"Marinette County",55075,19.5,6101,"1,914"
"Menominee County",55078,19.6,486,"1,901"
"Dodge County",55027,19.9,12823,"1,854"
"Monroe County",55081,20.0,6230,"1,835"
"Trempealeau County",55121,20.2,4136,"1,791"
"Waupaca County",55135,20.2,7614,"1,791"
"Kewaunee County",55061,20.6,3036,"1,707"
"Lafayette County",55065,20.6,2340,"1,707"
"Richland County",55103,20.7,2553,"1,686"
"Wood County",55141,21.4,11344,"1,570"
"Burnett County",55013,22.0,2894,"1,488"
"Ashland County",55003,22.1,2474,"1,473"
"Buffalo County",55011,22.1,2156,"1,473"
"Manitowoc County",55071,22.2,13079,"1,458"
"Barron County",55005,22.3,7434,"1,445"
"Green Lake County",55047,22.5,3058,"1,419"
"Fond du Lac County",55039,22.6,16498,"1,410"
"Florence County",55037,23.1,849,"1,342"
"Iron County",55051,23.4,1156,"1,312"
"Pepin County",55091,23.6,1252,"1,293"
"Washburn County",55129,23.6,2990,"1,293"
"Polk County",55095,23.7,7865,"1,283"
"Chippewa County",55017,24.1,11494,"1,237"
"Grant County",55043,24.6,7999,"1,156"
"Vernon County",55123,24.8,5153,"1,142"
"Columbia County",55021,25.7,10788,"1,028"
"Rock County",55105,25.7,29085,"1,028"
"Sauk County",55111,26.5,12256,"969"
"Green County",55045,27.0,7139,"922"
"Sawyer County",55113,27.2,3769,"897"
"Marathon County",55073,27.3,26333,"887"
"Sheboygan County",55117,27.3,22530,"887"
"Douglas County",55031,27.8,8876,"849"
"Racine County",55101,28.0,37985,"830"
"Jefferson County",55055,28.1,16755,"826"
"Oneida County",55085,28.4,8350,"807"
"Iowa County",55049,28.5,4852,"799"
"Dunn County",55033,29.2,8257,"753"
"Vilas County",55125,30.5,5623,"671"
"Kenosha County",55059,30.8,35366,"654"
"Winnebago County",55139,31.0,36248,"642"
"Outagamie County",55087,32.0,41952,"588"
"Pierce County",55093,32.0,8707,"588"
"Walworth County",55127,32.3,22995,"568"
"Brown County",55009,32.4,58981,"561"
"Calumet County",55015,32.5,11975,"553"
"Portage County",55097,33.7,15520,"487"
"Milwaukee County",55079,33.9,209851,"478"
"Washington County",55131,34.8,34133,"435"
"Bayfield County",55007,35.0,4474,"431"
"Eau Claire County",55035,35.7,24324,"393"
"La Crosse County",55063,36.1,28244,"374"
"Door County",55029,37.1,8792,"341"
"St. Croix County",55109,39.4,25574,"274"
"Waukesha County",55133,47.9,139995,"114"
"Ozaukee County",55089,50.4,32739,"83"
"Dane County",55025,54.4,204572,"53"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 2/28/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education (At least bachelor's degree), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#education."
